LocationID,Borough,Zone,service_zone,latitude,longitude,geolocation
1,EWR,Newark Airport,EWR,40.689531,-74.174462,"40.689531, -74.174462"
21,Brooklyn,Bensonhurst East,Boro Zone,40.611374,-73.996839,"40.611374, -73.996839"
22,Brooklyn,Bensonhurst West,Boro Zone,40.604824,-74.006226,"40.604824, -74.006226"
36,Brooklyn,Bushwick North,Boro Zone,40.697552,-73.921286,"40.697552, -73.921286"
61,Brooklyn,Crown Heights North,Boro Zone,40.672828,-73.940311,"40.672828, -73.940311"
62,Brooklyn,Crown Heights South,Boro Zone,40.664776,-73.944799,"40.664776, -73.944799"
74,Manhattan,East Harlem North,Boro Zone,40.797628,-73.937595,"40.797628, -73.937595"
75,Manhattan,East Harlem South,Boro Zone,40.791642,-73.944658,"40.791642, -73.944658"
87,Manhattan,Financial District North,Yellow Zone,40.70932,-74.00868,"40.70932, -74.00868"
88,Manhattan,Financial District South,Yellow Zone,40.703277,-74.01335,"40.703277, -74.01335"
94,Bronx,Fordham South,Boro Zone,40.85408,-73.8973,"40.85408, -73.8973"
99,Staten Island,Freshkills Park,Boro Zone,40.5812,-74.1917,"40.5812, -74.1917"
111,Brooklyn,Green-Wood Cemetery,Boro Zone,40.6534,-73.9906,"40.6534, -73.9906"
113,Manhattan,Greenwich Village North,Yellow Zone,40.734823,-73.996708,"40.734823, -73.996708"
141,Manhattan,Lenox Hill West,Yellow Zone,40.766155,-73.963037,"40.766155, -73.963037"
142,Manhattan,Lincoln Square East,Yellow Zone,40.77469,-73.982727,"40.77469, -73.982727"
143,Manhattan,Lincoln Square West,Yellow Zone,40.775821,-73.986475,"40.775821, -73.986475"
149,Brooklyn,Madison,Boro Zone,40.612528,-73.9452,"40.612528, -73.9452"
159,Bronx,Melrose South,Boro Zone,40.815802,-73.914332,"40.815802, -73.914332"
173,Queens,North Corona,Boro Zone,40.757971,-73.857338,"40.757971, -73.857338"
178,Brooklyn,Ocean Parkway South,Boro Zone,40.605618,-73.972308,"40.605618, -73.972308"
179,Queens,Old Astoria,Boro Zone,40.776358,-73.930892,"40.776358, -73.930892"
218,Queens,Springfield Gardens North,Boro Zone,40.672372,-73.756233,"40.672372, -73.756233"
219,Queens,Springfield Gardens South,Boro Zone,40.659579,-73.756086,"40.659579, -73.756086"
227,Brooklyn,Sunset Park East,Boro Zone,40.652876,-74.003921,"40.652876, -74.003921"
228,Brooklyn,Sunset Park West,Boro Zone,40.645245,-74.010467,"40.645245, -74.010467"
236,Manhattan,Upper East Side North,Yellow Zone,40.773565,-73.956555,"40.773565, -73.956555"
237,Manhattan,Upper East Side South,Yellow Zone,40.768098,-73.962408,"40.768098, -73.962408"
238,Manhattan,Upper West Side North,Yellow Zone,40.793783,-73.972368,"40.793783, -73.972368"
239,Manhattan,Upper West Side South,Yellow Zone,40.784734,-73.976865,"40.784734, -73.976865"
241,Bronx,Van Cortlandt Village,Boro Zone,40.884442,-73.898986,"40.884442, -73.898986"
243,Manhattan,Washington Heights North,Boro Zone,40.85256,-73.936063,"40.85256, -73.936063"
244,Manhattan,Washington Heights South,Boro Zone,40.842119,-73.939657,"40.842119, -73.939657"
255,Brooklyn,Williamsburg (North Side),Boro Zone,40.719004,-73.958435,"40.719004, -73.958435"
256,Brooklyn,Williamsburg (South Side),Boro Zone,40.708116,-73.95707,"40.708116, -73.95707"
263,Manhattan,Yorkville West,Yellow Zone,40.776223,-73.949195,"40.776223, -73.949195"
